on: x=-6 to 41 , y=-12 to 39 , z=-10 to 42
on: x=-33 to 13 , y=-34 to 15 , z=3 to 47
on: x=-6 to 47 , y=-7 to 38 , z=-23 to 28
on: x=-10 to 37 , y=-3 to 43 , z=-11 to 38
on: x=-42 to 7 , y=-39 to 9 , z=-29 to 22
on: x=-11 to 37 , y=-36 to 11 , z=-34 to 12
on: x=-31 to 13 , y=-12 to 40 , z=1 to 49
on: x=-23 to 28 , y=-7 to 44 , z=-39 to 12
on: x=-1 to 44 , y=-48 to 3 , z=-37 to 14
on: x=0 to 49 , y=-27 to 26 , z=-33 to 12
off: x=-13 to 0 , y=35 to 45 , z=6 to 15
on: x=-41 to 6 , y=-17 to 32 , z=-22 to 29
off: x=-25 to -12 , y=-44 to -32 , z=-19 to 0
on: x=-31 to 21 , y=-6 to 47 , z=-2 to 45
off: x=1 to 17 , y=-13 to -2 , z=-48 to -34
on: x=-40 to 13 , y=-4 to 48 , z=-29 to 17
off: x=17 to 29 , y=-39 to -30 , z=-15 to 4
on: x=-20 to 24 , y=-18 to 27 , z=-39 to 7
off: x=7 to 20 , y=-26 to -12 , z=-26 to -8
on: x=-37 to 8 , y=-17 to 30 , z=-14 to 38
on: x=63674 to 72237 , y=20683 to 37531 , z=-35064 to -16872
on: x=-51990 to -35385 , y=-78503 to -48525 , z=-752 to 35650
on: x=27632 to 33313 , y=35477 to 62597 , z=-58213 to -50913
on: x=65890 to 74495 , y=-45869 to -13775 , z=-39225 to -14722
on: x=-275 to 16102 , y=-72595 to -60586 , z=-53397 to -23273
on: x=-69158 to -42553 , y=45370 to 61812 , z=-42421 to -18663
on: x=-78654 to -58419 , y=-30915 to 7322 , z=-51094 to -33929
on: x=-1256 to 22317 , y=37707 to 59544 , z=-63046 to -53164
on: x=26513 to 44666 , y=-55290 to -34887 , z=-62641 to -49964
on: x=-38394 to -32826 , y=20123 to 52430 , z=-74302 to -53761
on: x=-76260 to -48290 , y=-35301 to -11819 , z=-36430 to -22459
on: x=54855 to 74218 , y=-45492 to -25796 , z=5423 to 34586
on: x=-60859 to -42702 , y=37095 to 58797 , z=-42035 to -17299
on: x=25061 to 44950 , y=-11087 to 4566 , z=-76090 to -58040
on: x=-7719 to 1196 , y=-84740 to -56268 , z=18595 to 40418
on: x=37771 to 58776 , y=34417 to 62574 , z=-47992 to -23102
on: x=-21356 to 1356 , y=-63790 to -54279 , z=32547 to 55070
on: x=-8345 to 19180 , y=-53204 to -27521 , z=-68280 to -61850
on: x=67534 to 81624 , y=-31159 to -14948 , z=1049 to 12579
on: x=55346 to 68022 , y=7885 to 30928 , z=-44155 to -34352
on: x=36305 to 74237 , y=41145 to 52234 , z=-42601 to -28496
on: x=-90070 to -73989 , y=-23814 to -9394 , z=14042 to 31716
on: x=-84427 to -54677 , y=8904 to 30283 , z=-1322 to 33502
on: x=-71181 to -41802 , y=30646 to 57075 , z=35746 to 53147
on: x=38541 to 52970 , y=-20791 to -7785 , z=51108 to 80150
on: x=59180 to 82388 , y=-3853 to 32838 , z=-24341 to -5768
on: x=-56690 to -39206 , y=8232 to 29724 , z=40440 to 64896
on: x=21608 to 43080 , y=60567 to 71466 , z=40486 to 52408
on: x=60372 to 77998 , y=-28305 to 3238 , z=14836 to 37414
on: x=-4093 to 35198 , y=10164 to 32918 , z=-85387 to -73526
on: x=-43292 to -12636 , y=-9696 to 12766 , z=64552 to 80970
on: x=-28102 to 1261 , y=-70258 to -57055 , z=-47806 to -31344
on: x=-63701 to -56970 , y=-47663 to -38224 , z=34022 to 46913
on: x=-38997 to -7735 , y=-20643 to -11524 , z=-76648 to -69429
on: x=-511 to 8645 , y=42010 to 62268 , z=-58666 to -40526
on: x=16306 to 47865 , y=-64952 to -45421 , z=53087 to 54589
on: x=-16279 to 2136 , y=-61390 to -44811 , z=50710 to 64292
on: x=-7745 to 20078 , y=386 to 12000 , z=68727 to 90088
on: x=64690 to 73403 , y=-24946 to -7208 , z=-37627 to -17433
on: x=-90968 to -67687 , y=17270 to 37677 , z=-13992 to -2525
on: x=18861 to 37721 , y=-86406 to -68095 , z=-23372 to -3258
on: x=41065 to 48438 , y=54874 to 73195 , z=-283 to 27298
on: x=45205 to 54225 , y=-67863 to -30873 , z=-54709 to -22614
on: x=-10233 to -3001 , y=15582 to 31889 , z=57592 to 89392
on: x=-35101 to -13894 , y=-70592 to -43271 , z=37482 to 47874
on: x=10843 to 37299 , y=27094 to 49883 , z=54316 to 68303
on: x=56557 to 93573 , y=-25293 to 2359 , z=24320 to 47118
on: x=17766 to 33710 , y=56863 to 70640 , z=15156 to 29617
on: x=10910 to 21590 , y=42930 to 65065 , z=57606 to 76820
on: x=-60175 to -28682 , y=928 to 18831 , z=-65938 to -54841
on: x=-78055 to -49879 , y=34994 to 64428 , z=-2418 to 2276
on: x=59141 to 65590 , y=33452 to 65433 , z=-12600 to -10439
on: x=32409 to 48105 , y=-43813 to -13532 , z=-83789 to -55956
on: x=-72650 to -62087 , y=30406 to 60429 , z=17600 to 26813
on: x=-90755 to -67882 , y=-36682 to -5054 , z=-21110 to 1198
on: x=22223 to 47574 , y=-4347 to 15805 , z=-82271 to -69276
on: x=-76178 to -49716 , y=-21343 to -3479 , z=43309 to 50309
on: x=23918 to 51383 , y=46032 to 80222 , z=-38284 to -33927
on: x=9063 to 30200 , y=-14090 to 13010 , z=66331 to 92110
on: x=-9117 to 18211 , y=-91446 to -67159 , z=-38983 to -15166
on: x=-84040 to -64286 , y=14208 to 17723 , z=8226 to 42068
on: x=30663 to 49357 , y=56472 to 65567 , z=21785 to 35391
on: x=49515 to 62793 , y=-65937 to -43950 , z=-3599 to 3658
on: x=50191 to 73902 , y=-45655 to -19740 , z=34457 to 46986
on: x=29380 to 39669 , y=-44098 to -5640 , z=66799 to 71770
on: x=68464 to 78505 , y=-49399 to -17076 , z=-404 to 19557
on: x=-50618 to -23493 , y=-86374 to -65393 , z=14291 to 36383
on: x=-62993 to -39175 , y=-35991 to -5866 , z=50864 to 70363
on: x=47662 to 56935 , y=21433 to 54255 , z=41743 to 62223
on: x=-50812 to -34320 , y=48864 to 66709 , z=10296 to 36222
on: x=-51511 to -38702 , y=31283 to 59283 , z=29440 to 44647
on: x=31683 to 59429 , y=-68371 to -43693 , z=-34024 to -4934
on: x=-66814 to -57275 , y=-56376 to -31172 , z=-17978 to 7865
on: x=-24839 to -1406 , y=-71938 to -40830 , z=37293 to 54028
on: x=-65450 to -42663 , y=16690 to 39141 , z=-52553 to -22761
on: x=57568 to 68488 , y=-56872 to -27713 , z=-51410 to -21887
on: x=9816 to 46885 , y=-18028 to 1846 , z=-86212 to -61019
on: x=54133 to 63512 , y=-30827 to -23276 , z=45415 to 57776
on: x=34872 to 65256 , y=-41153 to -10659 , z=-72176 to -50005
on: x=45369 to 65188 , y=30335 to 65462 , z=24802 to 56968
on: x=48848 to 59043 , y=-32654 to -4256 , z=-67300 to -37161
on: x=-38563 to -28359 , y=-51416 to -42490 , z=-76819 to -47617
on: x=5064 to 28753 , y=39709 to 72294 , z=57340 to 76529
on: x=-62140 to -41501 , y=-56988 to -40595 , z=-55398 to -25076
on: x=12105 to 35514 , y=-36094 to -18861 , z=66054 to 68875
on: x=-76182 to -50302 , y=-51373 to -29014 , z=-58038 to -27014
on: x=37302 to 53874 , y=27894 to 53613 , z=29583 to 50665
on: x=16147 to 34480 , y=21511 to 30921 , z=62835 to 79807
on: x=-22134 to -1214 , y=-70806 to -50856 , z=36851 to 68884
on: x=-68030 to -39601 , y=-25612 to -7027 , z=45246 to 53743
on: x=46455 to 63099 , y=-39255 to -17799 , z=-60376 to -32427
on: x=9037 to 17238 , y=-81020 to -75940 , z=-17153 to 4464
on: x=-58302 to -44073 , y=38209 to 74196 , z=-22601 to -16540
on: x=12217 to 43506 , y=-49758 to -19201 , z=55186 to 83277
on: x=60852 to 70701 , y=-13934 to 5616 , z=-54213 to -23590
on: x=-30770 to -12014 , y=-79992 to -69814 , z=-26312 to 640
on: x=-29591 to -1817 , y=64139 to 78606 , z=-54458 to -38340
on: x=-70606 to -49521 , y=23833 to 37444 , z=27457 to 58896
on: x=-13543 to 7851 , y=-80973 to -64115 , z=6135 to 31772
on: x=-87056 to -60133 , y=8563 to 28255 , z=30595 to 34751
on: x=-52703 to -41244 , y=-71153 to -48612 , z=9932 to 47505
on: x=4823 to 15333 , y=8479 to 32983 , z=-94904 to -72911
on: x=20706 to 34913 , y=-32841 to -21091 , z=-78732 to -64240
on: x=34179 to 38502 , y=-77966 to -58490 , z=29443 to 56467
on: x=-3207 to 15375 , y=-37001 to -15828 , z=57339 to 80701
on: x=-40727 to -27410 , y=9776 to 32591 , z=60147 to 82181
on: x=-90458 to -67516 , y=-21897 to -17898 , z=-46698 to -19679
on: x=70001 to 85013 , y=20139 to 39366 , z=3263 to 10448
on: x=38509 to 50837 , y=51063 to 75538 , z=10565 to 22103
on: x=-4360 to 16665 , y=-75325 to -44314 , z=34199 to 53160
on: x=-30672 to -24565 , y=-67654 to -57579 , z=-50202 to -40567
on: x=-931 to 5535 , y=5154 to 21429 , z=73534 to 79225
on: x=-56373 to -39111 , y=-9192 to 16483 , z=47031 to 75102
on: x=58111 to 79237 , y=-40333 to -23947 , z=-33476 to -13221
on: x=-13691 to -355 , y=-92671 to -58545 , z=-35141 to -18833
on: x=-17942 to -7697 , y=-79775 to -50292 , z=-56054 to -29671
on: x=-19883 to 18823 , y=-40243 to -12211 , z=68158 to 91839
on: x=28227 to 45243 , y=-82001 to -49839 , z=-18511 to -400
on: x=35090 to 66081 , y=48542 to 63078 , z=-35332 to -9723
on: x=-39870 to -23865 , y=-3314 to 960 , z=-92361 to -64957
on: x=6533 to 15219 , y=-80248 to -78662 , z=-9878 to 13965
on: x=57321 to 67145 , y=-21481 to -730 , z=43503 to 66453
on: x=-44052 to -20551 , y=72872 to 77681 , z=-30093 to -9429
on: x=51925 to 68298 , y=-31201 to -4633 , z=38195 to 69628
on: x=10414 to 27608 , y=-4566 to 19901 , z=64702 to 79019
